source_key,source_page_url,direct_url,creator,title,license,rights_note,verified_date
waves_pd,https://commons.wikimedia.org/wiki/File:Waves.ogg,https://upload.wikimedia.org/wikipedia/commons/1/1f/Waves.ogg,Dsw4,Waves.ogg,Public-Domain,"Own recording released into the public domain by copyright holder",2026-08-12
rain_light_pd,https://commons.wikimedia.org/wiki/File:Rain.ogg,https://upload.wikimedia.org/wikipedia/commons/3/3d/Rain.ogg,ジダネ,Rain.ogg,Public-Domain,"Own recording released into the public domain by copyright holder",2026-08-12
rain_heavy_pd,https://commons.wikimedia.org/wiki/File:Rain_(1).ogg,https://upload.wikimedia.org/wikipedia/commons/0/0e/Rain_%281%29.ogg,ezwa,Rain (1).ogg,Public-Domain,"PDSounds recording released into the public domain by author",2026-08-12
wind_cc0,https://commons.wikimedia.org/wiki/File:Howling_wind.ogg,https://upload.wikimedia.org/wikipedia/commons/2/2d/Howling_wind.ogg,Tvabutzku1234,Howling wind.ogg,CC0-1.0,"Own recording dedicated under CC0 1.0",2026-08-12
fire_pd,https://commons.wikimedia.org/wiki/File:Fire.ogv,https://upload.wikimedia.org/wikipedia/commons/8/8f/Fire.ogv,Cary Bass,Fire.ogv,Public-Domain,"Own campfire recording released into the public domain by copyright holder",2026-08-12
